province,2012,2013,2014
Chiang Mai,5495,5934,6373
Chiang Rai,3434,3549,3664
Phetchaburi,2913,2990.5,3068
Phetchabun,4446,4767.5,5089
Loei,2095,3295.5,4496
Phrae,1372,1304.5,1237
Mae Hong Son,451,596,741
Krabi,691,675.5,660
Bangkok,13864,14935.5,16007
Kanchanaburi,5292,5433.5,5575
Kalasin,2710,2880,3050
Kamphaeng Phet,4381,4513,4645
Khon Kaen,7110,7758.5,8407
Chanthaburi,3347,3512,3677
Chachoengsao,4266,4312.5,4359
Chon Buri,4881,4750,4619
Chai Nat,1798,1864,1930
Chaiyaphum,5964,6088.5,6213
Chumphon,2205,1949.5,1694
Trang,1058,1248,1438
Trat,783,798.5,814
Tak,1490,1813.5,2137
Nakhon Nayok,1998,1823.5,1649
Nakhon Pathom,3830,3970,4110
Nakhon Phanom,2420,3053.5,3687
Nakhon Ratchasima,15144,15866.5,16589
Nakhon Si Thammarat,2966,3202,3438
Nakhon Sawan,6040,6234.5,6429
Nonthaburi,3345,3423.5,3502
Narathiwat,342,355,368
Nan,939,1110.5,1282
Bungkan,2155,2508.5,2862
Buri Ram,8299,8614,8929
Pathum Thani,4494,4816,5138
Prachuap Khiri Khan,2356,2338.5,2321
Prachin Buri,3803,3751.5,3700
Pattani,306,435,564
Phra Nakhon Si Ayutthaya,5252,5212,5172
Phayao,1198,1344.5,1491
Phangnga,776,787,798
Phattalung,1681,1431,1181
Phichit,3830,3801,3772
Phitsanulok,4749,4878,5007
Phuket,590,652,714
Maha Sarakham,4488,4583.5,4679
Mukdahan,1247,1506,1765
Yasothon,2198,2392,2586
Yala,237,260.5,284
Roi Et,6701,7430.5,8160
Ranong,545,567.5,590
Rayong,2272,2300,2328
Ratchaburi,4279,3891,3503
Lop Buri,4890,4784,4678
Lampang,2125,2306.5,2488
Lamphun,1502,1527,1552
Si Sa Ket,9174,9609.5,10045
Sakon Nakhon,4406,5195.5,5985
Songkhla,2193,2460,2727
Satun,236,256,276
Samut Prakan,3703,3806,3909
Samut Songkhram,1509,1474.5,1440
Samut Sakhon,1712,1846.5,1981
Sa Kaeo,2781,2728,2675
Saraburi,3716,3750,3784
Sing Buri,1373,1471,1569
Sukhothai,2181,2474,2767
Suphan Buri,5357,5609,5861
Surat Thani,2430,2489,2548
Surin,7836,8170,8504
Nong Khai,1996,2173.5,2351
Nong Bua Lam Phu,1801,2646.5,3492
Ang Thong,1832,1825,1818
Amnat Charoen,1381,1460.5,1540
Udon Thani,5808,7392,8976
Uttaradit,3006,2108,1210
Uthai Thani,1500,1536.5,1573
Ubon Ratchathani,7888,8831.5,9775
